Catchment,Domain,Indicator,Unit,Sheep + Beef  (SEPP),Sheep + Beef  (Non-SEPP),Dairy (SEPP),Dairy (Non-SEPP),Dairy support/high intensity beef or dairy grazing (SEPP),Dairy support/high intensity beef or dairy grazing (Non-SEPP),Deer (SEPP),Deer (Non-SEPP),Arable/vegetables,Kiwifruit,Other horticulture,Forestry - Exotic,Forestry - Indigenous pre-1990,Forestry - Indigenous post-1989,Parks and Recreation,Wetlands,Urban/road/rail,Lifestyle block or mixed land use (SEPP),Lifestyle block or mixed land use (Non-SEPP),Hydro,Other,Scrub,Custom Land Use A,Custom Land Use B,Custom Land Use C
East Coast,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
East Coast,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
East Coast,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
East Coast,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Economic,Value-added - Direct & indirect impacts,$/ha/year,614.0,872.0,3302.0,7862.0,575.0,1368.0,293.0,697.0,5110.0,115919.0,30044.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,745.0,1057.0,4106.0,9777.0,715.0,1701.0,367.0,874.0,6194.0,147212.0,38155.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Economic,Employment - Direct impact,MEC/ha,0.0032,0.0045,0.0118,0.0281,0.0021,0.0049,0.0035,0.0084,0.0264,0.3529,0.0915,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Economic,Employment - Direct & indirect impacts,MEC/ha,0.005,0.0071,0.0207,0.0492,0.0036,0.0086,0.0046,0.011,0.0418,0.8425,0.2184,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0059,0.0084,0.0261,0.0621,0.0045,0.0108,0.0051,0.0122,0.0492,1.0563,0.2738,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Economic,Land value,$/ha,20564.0,20564.0,54403.0,54403.0,20564.0,20564.0,39805.0,39805.0,124485.0,282698.0,234628.0,4249.0,1218.0,1218.0,375918.0,0.0,7352941.0,419677.0,419677.0,0.0,148880.0,0.0,0.0,0.0,0.0
Kaituna,Economic,Income,$/ha,159.26080000000002,223.9605,692.8016,1649.8072,102.8412,239.9628,176.022,422.45279999999997,983.928,13517.4816,3504.816,31.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Environmental,N loss,kg/ha/year,24.0,24.0,61.0,61.0,28.0,28.0,25.0,25.0,58.0,25.0,27.0,4.1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Environmental,P loss,kg/ha/year,2.7,2.7,3.4,3.4,2.0,2.0,1.5,1.5,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Kaituna,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
Kaituna,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
Kaituna,Environmental,Freshwater invertebrates,Scoring,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,8.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Kaituna,Environmental,Estuarine health,Scoring,4.0,6.0,2.0,4.0,2.0,4.0,4.0,6.0,2.0,6.0,8.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Kaituna,Environmental,Groundwater quality,Scoring,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
Kaituna,Environmental,Pressure on water quantity,Scoring,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
Kaituna,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Kaituna,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Kaituna,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Kaituna,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaituna,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Economic,Value-added - Direct impact,$/ha/year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Economic,Value-added - Direct & indirect impacts,$/ha/year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Economic,Employment - Direct impact,MEC/ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Economic,Employment - Direct & indirect impacts,MEC/ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Economic,Land value,$/ha,14997.0,14997.0,28320.0,28320.0,14997.0,14997.0,30391.0,30391.0,124485.0,134011.0,140289.0,5036.0,1347.0,1347.0,214357.0,0.0,85324.0,22443.0,22443.0,0.0,102545.0,0.0,0.0,0.0,0.0
Motiti,Economic,Income,$/ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Environmental,N loss,kg/ha/year,26.0,26.0,56.0,56.0,28.0,28.0,25.0,25.0,59.0,25.0,27.0,2.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Environmental,P loss,kg/ha/year,2.3,2.3,2.3,2.3,2.0,2.0,1.5,1.5,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Motiti,Environmental,E.coli loss,Scoring,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0
Motiti,Environmental,River water quality,Scoring,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,10.0,6.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0
Motiti,Environmental,Freshwater invertebrates,Scoring,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,8.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Motiti,Environmental,Estuarine health,Scoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Environmental,Groundwater quality,Scoring,0.0,4.0,0.0,6.0,0.0,6.0,0.0,6.0,6.0,6.0,4.0,6.0,8.0,6.0,6.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0
Motiti,Environmental,Pressure on water quantity,Scoring,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
Motiti,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Motiti,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Motiti,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Motiti,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Motiti,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Economic,Value-added - Direct & indirect impacts,$/ha/year,696.0,988.0,3360.0,8001.0,585.0,1392.0,326.0,777.0,5792.0,120438.0,31216.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,910.0,1291.0,4550.0,10833.0,792.0,1885.0,444.0,1056.0,7566.0,166639.0,43190.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Economic,Employment - Direct impact,MEC/ha,0.0032,0.0045,0.0118,0.0281,0.0021,0.0049,0.0029,0.0069,0.0262,0.5211,0.1351,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Economic,Employment - Direct & indirect impacts,MEC/ha,0.0056,0.008,0.021,0.05,0.0037,0.0087,0.0043,0.0102,0.047,1.0313,0.2673,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0069,0.0098,0.0278,0.0662,0.0048,0.0115,0.005,0.0118,0.0572,1.2935,0.3353,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Economic,Land value,$/ha,25421.0,25421.0,17863.0,17863.0,25421.0,25421.0,34366.0,34366.0,124485.0,41995.0,140289.0,3766.0,3583.0,3583.0,117428.0,0.0,10815822.0,191882.0,191882.0,0.0,130091.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Economic,Income,$/ha,159.26080000000002,223.9605,692.8016,1649.8072,102.8412,239.9628,145.8468,347.0148,976.474,19960.2144,5174.8704,47.45099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Environmental,N loss,kg/ha/year,19.0,19.0,38.0,38.0,28.0,28.0,25.0,25.0,59.0,25.0,27.0,2.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Environmental,P loss,kg/ha/year,2.7,2.7,2.9,2.9,2.0,2.0,1.5,1.5,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Ōhiwa Harbour,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
Ōhiwa Harbour,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
Ōhiwa Harbour,Environmental,Freshwater invertebrates,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,10.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Ōhiwa Harbour,Environmental,Estuarine health,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Ōhiwa Harbour,Environmental,Groundwater quality,Scoring,6.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
Ōhiwa Harbour,Environmental,Pressure on water quantity,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
Ōhiwa Harbour,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Ōhiwa Harbour,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Ōhiwa Harbour,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Ōhiwa Harbour,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Ōhiwa Harbour,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
